line_item_usage_start_date,line_item_usage_end_date,line_item_product_code,line_item_usage_type,line_item_operation,line_item_usage_amount,line_item_unblended_cost,product_region,resource_id,line_item_line_item_type
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AmazonEC2,EU-BoxUsage:t2.micro,RunInstances,23.525,0.086185,eu-north-1,i-0a1b2c3d4e5f60001,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AmazonEC2,EU-BoxUsage:t2.micro,RunInstances,23.7232,0.083088,eu-north-1,i-0a1b2c3d4e5f60002,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AmazonEC2,EU-BoxUsage:t2.micro,RunInstances,24.1767,0.08701,eu-north-1,i-0a1b2c3d4e5f60003,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AmazonRDS,EU-InstanceUsage:db.t3.micro,CreateDBInstance,23.9688,0.490583,eu-north-1,db-finops-db-001,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AmazonS3,EU-TimedStorage-ByteHrs,PutObject,1657.35,0.038119,eu-north-1,finops-cur-data-louay,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AmazonS3,EU-TimedStorage-ByteHrs,PutObject,1267.65,0.029156,eu-north-1,finops-logs-louay,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AmazonS3,EU-TimedStorage-ByteHrs,PutObject,870.04,0.020011,eu-north-1,finops-forgotten-louay,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AWSLambda,EU-Lambda-GB-Second,Invoke,285.78,0.004763,eu-north-1,finops-collector,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AWSLambda,EU-Lambda-GB-Second,Invoke,290.94,0.004849,eu-north-1,finops-analyzer,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AWSLambda,EU-Lambda-GB-Second,Invoke,182.7,0.003045,eu-north-1,finops-alerter,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AmazonCloudWatch,EU-DataProcessing-Bytes,PutLogEvents,30.135,0.030135,eu-north-1,cloudwatch-logs-eu-north-1,Usage
2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,AWSDataTransfer,EU-DataTransfer-Out-Bytes,PublicIP-Out,24.301,0.024301,eu-north-1,datatransfer-eu-north-1,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AmazonEC2,EU-BoxUsage:t2.micro,RunInstances,24.3094,0.085759,eu-north-1,i-0a1b2c3d4e5f60001,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AmazonEC2,EU-BoxUsage:t2.micro,RunInstances,24.3058,0.080805,eu-north-1,i-0a1b2c3d4e5f60002,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AmazonEC2,EU-BoxUsage:t2.micro,RunInstances,23.8403,0.086684,eu-north-1,i-0a1b2c3d4e5f60003,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AmazonRDS,EU-InstanceUsage:db.t3.micro,CreateDBInstance,23.9346,0.471939,eu-north-1,db-finops-db-001,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AmazonS3,EU-TimedStorage-ByteHrs,PutObject,1668.3,0.038371,eu-north-1,finops-cur-data-louay,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AmazonS3,EU-TimedStorage-ByteHrs,PutObject,1251.74,0.02879,eu-north-1,finops-logs-louay,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AmazonS3,EU-TimedStorage-ByteHrs,PutObject,899.78,0.020695,eu-north-1,finops-forgotten-louay,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AWSLambda,EU-Lambda-GB-Second,Invoke,303.12,0.005052,eu-north-1,finops-collector,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AWSLambda,EU-Lambda-GB-Second,Invoke,309.24,0.005154,eu-north-1,finops-analyzer,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AWSLambda,EU-Lambda-GB-Second,Invoke,184.14,0.003069,eu-north-1,finops-alerter,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AmazonCloudWatch,EU-DataProcessing-Bytes,PutLogEvents,30.109,0.030109,eu-north-1,cloudwatch-logs-eu-north-1,Usage
2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,AWSDataTransfer,EU-DataTransfer-Out-Bytes,PublicIP-Out,26.183,0.026183,eu-north-1,datatransfer-eu-north-1,Usage
2026-01-03T00:00:00Z,2026-01-04T00:00:00Z,AmazonEC2,EU-BoxUsage:t2.micro,RunInstances,24.052,0.058777,eu-north-1,i-0a1b2c3d4e5f60001,Usage
2026-01-03T00:00:00Z,2026-01-04T00:00:00Z,AmazonEC2,EU-BoxUsage:t2.micro,RunInstances,24.1185,0.06146,eu-north-1,i-0a1b2c3d4e5f60002,Usage
2026-01-03T00:00:00Z,2026-01-04T00:00:00Z,AmazonEC2,EU-BoxUsage:t2.micro,RunInstances,24.0774,0.061652,eu-north-1,i-0a1b2c3d4e5f60003,Usage
